PSTAR: Stopping Powers and Range Tables for Protons

POLYCARBONATE (MAKROLON, LEXAN)

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2

7.500E+02 2.260E+00 3.777E-04 2.260E+00 2.268E+02 2.266E+02 0.9992
8.000E+02 2.218E+00 3.553E-04 2.218E+00 2.492E+02 2.490E+02 0.9992
8.500E+02 2.181E+00 3.355E-04 2.181E+00 2.719E+02 2.717E+02 0.9993
9.000E+02 2.149E+00 3.178E-04 2.149E+00 2.950E+02 2.948E+02 0.9993
9.500E+02 2.121E+00 3.020E-04 2.121E+00 3.184E+02 3.182E+02 0.9993
1.000E+03 2.096E+00 2.876E-04 2.096E+00 3.421E+02 3.419E+02 0.9993
1.500E+03 1.957E+00 1.961E-04 1.958E+00 5.904E+02 5.901E+02 0.9994
2.000E+03 1.908E+00 1.495E-04 1.909E+00 8.496E+02 8.492E+02 0.9995
2.500E+03 1.892E+00 1.212E-04 1.892E+00 1.113E+03 1.112E+03 0.9995
3.000E+03 1.889E+00 1.021E-04 1.889E+00 1.378E+03 1.377E+03 0.9996
4.000E+03 1.901E+00 7.794E-05 1.901E+00 1.906E+03 1.905E+03 0.9996
5.000E+03 1.920E+00 6.323E-05 1.920E+00 2.429E+03 2.428E+03 0.9997
6.000E+03 1.940E+00 5.330E-05 1.940E+00 2.947E+03 2.947E+03 0.9997
7.000E+03 1.960E+00 4.613E-05 1.960E+00 3.460E+03 3.459E+03 0.9997
8.000E+03 1.979E+00 4.071E-05 1.979E+00 3.968E+03 3.967E+03 0.9997
9.000E+03 1.997E+00 3.646E-05 1.997E+00 4.471E+03 4.470E+03 0.9998
1.000E+04 2.014E+00 3.304E-05 2.014E+00 4.969E+03 4.968E+03 0.9998
