Name,stdx,stdy,gaussian_fit_stdx,gaussian_fit_stdy,x_quantile_minus_1_sigma,x_quantile_plus_1_sigma,y_quantile_minus_1_sigma,y_quantile_plus_1_sigma,x_quantile_minus_2_sigma,x_quantile_plus_2_sigma,y_quantile_minus_2_sigma,y_quantile_plus_2_sigma,x_quantile_50,y_quantile_50,AT_EXIT
DRIFT_P1G,0.01480398979038,0.01236558612436056,0.02197347417385731,0.015026770388685716,-0.01703146267682314,0.01709023527801037,-0.013423143792897465,0.014490628149360413,-0.025592905655503272,0.025492482446134085,-0.02187204267829657,0.02178947981446981,-9.102857438847424e-05,0.0008830266306176783,4.52326
DRIFT_SL1G,0.014733742922544481,0.012454494833946228,0.02173613453296588,0.015179284600789818,-0.016942850356921554,0.01701021044515073,-0.013528118001297116,0.01460906322114169,-0.025521152928471562,0.025404528439044952,-0.02204071784764528,0.021950591003522275,-0.00012725751730613408,0.0009052260138560085,4.54469
SL1G,0.01442679762840271,0.012659418396651743,0.02445190500281584,0.016403473221601114,-0.016620038783177738,0.016729859227314587,-0.013773295399732887,0.014942744085565209,-0.02488548145070672,0.024825203655287623,-0.022294567925855515,0.02231321235001086,-7.49444661778398e-05,0.0009734471095725895,4.60469
DRIFT_SL2G,0.0143471397459507,0.012621114030480385,0.02176139487874232,0.01607873251873466,-0.016517230385914447,0.016604568008333438,-0.013729821124114095,0.01489595173671841,-0.024827646678313612,0.02475093221850693,-0.022194228846579792,0.022254087168723347,-6.470030348282307e-05,0.0009759278909768908,4.61469
SL2G,0.014936274848878384,0.006926544476300478,0.030216840096176967,0.02413059787863146,-0.01737500801682472,0.017390578100457788,-0.00791383004747331,0.008380327629856766,-0.02527055602520704,0.025203269608318802,-0.011557881557382644,0.01162801742553711,-1.981536934181349e-05,0.0004074095631949604,4.67469
DRIFT_B1G,0.013921954669058323,0.008368281647562979,0.01930227661102437,0.009897803730854865,-0.01619506011903286,0.01621242268383503,-0.00925696350261569,0.009719281088560818,-0.023432958208024504,0.023405149199068543,-0.01380478334054351,0.013860344599932434,3.516380820656195e-05,0.00042158574797213083,5.0721407
B1G,0.012014541774988173,0.009215998463332651,0.013439693537314995,0.01135389479982988,-0.012859137228690087,0.012828145181760193,-0.009943209769204259,0.010743919754400843,-0.020719723409041758,0.02118527222424745,-0.016249330192804338,0.016527553630992762,-3.328662387502845e-05,0.0006823822041042148,6.119338
DRIFT_Q3G,0.011202213354408741,0.008989568799734116,0.012763129828424084,0.010598743405902077,-0.012026402421295644,0.012106184873729942,-0.00961213962174952,0.010378282126039268,-0.02031889655813575,0.021468078613281254,-0.0160202687010169,0.016343658208847048,-3.3453638025093824e-05,0.0006602086359634995,6.3837376
Q3G,0.0098965335637331,0.010187002830207348,0.010625922545698337,0.011857963518775131,-0.010174499228596687,0.0104443821310997,-0.010747188776731493,0.011660663560032841,-0.018716960176825524,0.0197244331985712,-0.018328238949179648,0.018840649873018263,-5.061164119979367e-05,0.000809487362857908,6.6737375
DRIFT_P2G,0.009260025806725023,0.010848984122276306,0.009793550923594052,0.01270822391198432,-0.009399790354073049,0.009679940193891526,-0.011430215798318386,0.012432506941258907,-0.017665579691529276,0.018564970493316648,-0.01957779213786125,0.0201097709685564,-2.306738497281913e-05,0.0008601649897173048,6.7493834
DRIFT_Q4G,0.007642499171197414,0.012931951321661472,0.007795719149894736,0.0157779645303241,-0.007595898550003768,0.007907123420387506,-0.013576267518103124,0.014882145054638387,-0.014826407365500924,0.01540585190802814,-0.02327374568581581,0.024029258109629158,2.566598413977772e-05,0.0011118673719465733,6.9997373
Q4G,0.008512536995112896,0.012810248881578444,0.008605988703091493,0.01580593881290782,-0.008349645603448152,0.008739519845694304,-0.013507529366761448,0.014799313265830278,-0.01703873284161091,0.01698020037263632,-0.02313601091504097,0.023768558055162432,0.000238223365158774,0.0010863482020795343,7.289737
DRIFT_T3G_Y,0.011740131303668022,0.010099903680384159,0.012612821566696072,0.011747620005154473,-0.011965025654062628,0.012502693505957722,-0.010532892616465688,0.011565590854734182,-0.02296033274382353,0.023224982097744942,-0.01843842726200819,0.0189132696390152,0.00047736577107571065,0.0008359402418136598,7.623737
Q5G,0.007021778728812933,0.014468084089457987,0.0075941991854220955,0.019536646435650926,-0.007189314983785153,0.007619529824703931,-0.015449779354035853,0.01690517359972,-0.013263398893177509,0.013741680145263677,-0.025987633898854258,0.026388111770153044,0.00032621418358758087,0.00123991584405303,8.113737
DRIFT_Q6G,0.004950827918946743,0.01675306260585785,0.004405911498393421,0.050086693527651265,-0.004482964212074876,0.004467965418938548,-0.01903129689581692,0.020225794875994324,-0.00930282751377672,0.0094889666531235,-0.027896387526765463,0.02820728409662843,2.8127971745561812e-05,0.0013376757269725206,8.448737
