PSTAR: Stopping Powers and Range Tables for Protons

POLYETHYLENE TEREPHTHALATE (MYLAR)                                      

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour 
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2            

9.000E+02 2.105E+00 3.061E-04 2.106E+00 3.012E+02 3.009E+02 0.9992 
9.500E+02 2.078E+00 2.908E-04 2.078E+00 3.251E+02 3.248E+02 0.9992 
1.000E+03 2.054E+00 2.770E-04 2.054E+00 3.493E+02 3.490E+02 0.9993 
1.500E+03 1.918E+00 1.889E-04 1.918E+00 6.027E+02 6.023E+02 0.9994 
2.000E+03 1.871E+00 1.440E-04 1.871E+00 8.672E+02 8.667E+02 0.9994 
2.500E+03 1.854E+00 1.167E-04 1.855E+00 1.136E+03 1.135E+03 0.9995 
3.000E+03 1.852E+00 9.836E-05 1.852E+00 1.406E+03 1.405E+03 0.9995 
4.000E+03 1.864E+00 7.508E-05 1.864E+00 1.944E+03 1.943E+03 0.9996 
5.000E+03 1.883E+00 6.091E-05 1.883E+00 2.478E+03 2.477E+03 0.9996 
6.000E+03 1.903E+00 5.135E-05 1.903E+00 3.007E+03 3.006E+03 0.9997 
7.000E+03 1.923E+00 4.444E-05 1.923E+00 3.529E+03 3.528E+03 0.9997 
8.000E+03 1.942E+00 3.922E-05 1.942E+00 4.047E+03 4.046E+03 0.9997 
9.000E+03 1.959E+00 3.513E-05 1.959E+00 4.559E+03 4.558E+03 0.9997 
1.000E+04 1.976E+00 3.183E-05 1.976E+00 5.068E+03 5.066E+03 0.9998 
