#BLTrackFile
# x  y	z	Px	Py	Pz	t	PDGid	EventID	TrackID	ParentID    Weight
# mm mm mm MeV/c MeV/c MeV/c ns - - - -  -
-1.1619 5.8846 0 0.19662 -1.7423 696.3 0 2212 241 1 1 1
0.89729 -5.843 0 1.1396 1.7423 696.29 0 2212 242 1 1 1
7.0524 1.6248 0 2.3967 -0.29038 696.29 0 2212 243 1 1 1
4.0153 -5.3794 0 1.5095 1.3067 696.29 0 2212 244 1 1 1
-9.5978 5.1927 0 -2.7202 -1.7423 696.28 0 2212 245 1 1 1
18.347 -8.1559 0 3.763 -1.8875 696.27 0 2212 246 1 1 1
13.826 -6.3868 0 4.391 0.43558 696.27 0 2212 247 1 1 1
18.769 6.2499 0 4.2996 1.3067 696.27 0 2212 248 1 1 1
-7.9235 4.8152 0 -1.1433 -1.7423 696.29 0 2212 249 1 1 1
-10.432 -5.6676 0 -1.803 2.1779 696.29 0 2212 250 1 1 1
10.054 0.19056 0 3.1864 0 696.28 0 2212 251 1 1 1
9.8175 7.0376 0 3.2149 -1.1616 696.28 0 2212 252 1 1 1
17.875 2.4706 0 4.8562 0.29038 696.26 0 2212 253 1 1 1
3.372 4.9994 0 1.5512 -1.3067 696.29 0 2212 254 1 1 1
18.769 0.37 0 4.1587 0.14519 696.27 0 2212 255 1 1 1
-10.949 1.3205 0 -2.1272 -0.58078 696.29 0 2212 256 1 1 1
1.9727 -6.6678 0 1.2232 1.8875 696.29 0 2212 257 1 1 1
-11.642 5.2883 0 -2.3624 -2.1779 696.28 0 2212 258 1 1 1
-9.752 4.1515 0 -2.2147 -1.5971 696.29 0 2212 259 1 1 1
-9.2244 -1.8255 0 -1.4431 0.72597 696.3 0 2212 260 1 1 1
18.615 7.0202 0 4.3378 1.4519 696.27 0 2212 261 1 1 1
-2.2954 -4.5192 0 0.35841 1.5971 696.3 0 2212 262 1 1 1
9.9338 -0.80885 0 3.2113 0.14519 696.28 0 2212 263 1 1 1
9.4123 -5.6546 0 3.2686 1.0164 696.28 0 2212 264 1 1 1
11.169 5.7736 0 0.060042 0.43558 696.3 0 2212 265 1 1 1
-11.394 0.99892 0 -2.2674 -0.43558 696.29 0 2212 266 1 1 1
0.44557 6.5045 0 1.0406 -1.8875 696.29 0 2212 267 1 1 1
8.2377 -2.73 0 -0.55593 0 696.3 0 2212 268 1 1 1
-10.517 5.6405 0 -2.2804 -2.1779 696.29 0 2212 269 1 1 1
-9.0279 1.081 0 -2.6054 -0.43558 696.29 0 2212 270 1 1 1
13.532 -5.6562 0 4.4148 0.43558 696.27 0 2212 271 1 1 1
-9.4483 4.432 0 -2.7278 -1.4519 696.29 0 2212 272 1 1 1
3.3038 6.4267 0 1.7598 -1.7423 696.29 0 2212 273 1 1 1
-11.035 -3.681 0 -2.9756 1.3114 696.28 0 2212 274 1 1 1
10.089 -4.27 0 -0.21521 -0.14519 696.3 0 2212 275 1 1 1
-2.9677 1.9053 0 0.33055 -0.72597 696.3 0 2212 276 1 1 1
-2.1203 -0.6779 0 -1.2069 0.29038 696.3 0 2212 277 1 1 1
-10.985 2.8599 0 -3.4438 -1.0164 696.28 0 2212 278 1 1 1
-10.598 -5.4264 0 -1.9078 2.0327 696.29 0 2212 279 1 1 1
5.8564 3.7766 0 -0.42475 -0.43558 696.3 0 2212 280 1 1 1
-1.3159 -0.24 0 0.40554 0 696.3 0 2212 281 1 1 1
8.4991 2.28 0 -0.45381 -0.14519 696.3 0 2212 282 1 1 1
7.9174 -0.72 0 2.9504 0.14519 696.29 0 2212 283 1 1 1
17.799 -7.0609 0 4.9661 -0.87116 696.26 0 2212 284 1 1 1
13.599 -2.8043 0 -0.47226 -0.58078 696.3 0 2212 285 1 1 1
-10.16 2.6778 0 -3.2356 -1.0164 696.28 0 2212 286 1 1 1
-11.382 -1.6394 0 -2.558 0.58078 696.29 0 2212 287 1 1 1
-9.2376 -5.2948 0 -3.1508 1.8875 696.28 0 2212 288 1 1 1
2.5499 -4.0204 0 1.2146 1.0164 696.3 0 2212 289 1 1 1
17.547 3.5296 0 4.4592 0.43558 696.27 0 2212 290 1 1 1
-3.7684 4.3319 0 -0.30078 -1.4519 696.3 0 2212 291 1 1 1
5.314 -0.67139 0 2.0135 0.14519 696.29 0 2212 292 1 1 1
-10.032 -0.98059 0 -1.7865 0.29038 696.3 0 2212 293 1 1 1
-6.2245 6.357 0 -0.7288 -2.1779 696.29 0 2212 294 1 1 1
-1.3686 5.885 0 0.50002 -1.8875 696.29 0 2212 295 1 1 1
-3.7257 -3.4094 0 -0.15828 1.1616 696.3 0 2212 296 1 1 1
-8.6 5.1073 0 -1.8045 -1.7423 696.29 0 2212 297 1 1 1
10.09 -0.51 0 0.19441 -0.14519 696.3 0 2212 298 1 1 1
-8.7347 5.8815 0 -2.9828 -1.8875 696.28 0 2212 299 1 1 1
5.088 -2.8298 0 2.1998 0.58078 696.29 0 2212 300 1 1 1
5.5752 -4.6723 0 2.0125 1.0164 696.29 0 2212 301 1 1 1
-8.2951 -4.8746 0 -2.8573 1.4519 696.28 0 2212 302 1 1 1
-9.475 -5.4273 0 -2.1084 2.0327 696.29 0 2212 303 1 1 1
-5.5792 -6.2779 0 -1.1227 2.1779 696.29 0 2212 304 1 1 1
-9.5785 -2.3288 0 -1.9967 0.87116 696.29 0 2212 305 1 1 1
18.828 -5.2103 0 3.7355 -1.3067 696.28 0 2212 306 1 1 1
15.445 -0.22 0 4.22 0 696.27 0 2212 307 1 1 1
13.054 -5.1947 0 3.7076 0.43558 696.28 0 2212 308 1 1 1
10.34 -2.7063 0 3.0888 0.43558 696.29 0 2212 309 1 1 1
11.859 -3.3968 0 3.4811 0.43558 696.28 0 2212 310 1 1 1
-1.2623 -2.1461 0 0.38546 0.72597 696.3 0 2212 311 1 1 1
-1.1702 0.42 0 -1.7908 -0.14519 696.3 0 2212 312 1 1 1
-10.715 2.017 0 -1.8897 -0.87116 696.29 0 2212 313 1 1 1
